frame,L_pixels,strain,radius_norm,pressure_Pa,stress_Pa,force_N
83,97.28491,2.0210376,3.0210376,1510.5188,7.6055565e+06,43310.01
84,97.5724,2.0299652,3.0299652,1514.9825,7.6505735e+06,43695.1
85,97.96249,2.0420785,3.0420785,1521.0393,7.711868e+06,44221.266
86,98.32267,2.0532634,3.0532634,1526.6317,7.7686815e+06,44710.83
87,98.552704,2.060407,3.060407,1530.2035,7.8050755e+06,45025.387
88,98.91556,2.0716748,3.0716748,1535.8374,7.862655e+06,45524.543
89,99.30483,2.0837631,3.0837631,1541.8816,7.924662e+06,46064.133
90,99.54401,2.0911903,3.0911903,1545.5952,7.9628815e+06,46397.777
91,99.938065,2.1034272,3.1034272,1551.7136,8.02605e+06,46950.97
92,100.22083,2.1122081,3.1122081,1556.104,8.071532e+06,47350.633
93,100.55036,2.122441,3.122441,1561.2206,8.1246985e+06,47819.24
94,100.958275,2.1351082,3.1351082,1567.5541,8.1907525e+06,48403.582
95,101.1126,2.1399007,3.1399007,1569.9503,8.2158135e+06,48625.895
96,101.20419,2.142745,3.142745,1571.3726,8.230705e+06,48758.164
97,101.416084,2.149325,3.149325,1574.6625,8.2652055e+06,49065.055
98,101.4074,2.1490552,3.1490552,1574.5276,8.2637905e+06,49052.45
99,101.483444,2.1514165,3.1514165,1575.7083,8.276188e+06,49162.875
100,101.44804,2.1503172,3.1503172,1575.1586,8.2704145e+06,49111.45
101,101.73623,2.1592665,3.1592665,1579.6332,8.3174695e+06,49531.176
102,101.66605,2.1570873,3.1570873,1578.5437,8.306e+06,49428.758
103,101.840416,2.1625018,3.1625018,1581.2509,8.334514e+06,49683.504
104,101.90078,2.1643763,3.1643763,1582.1881,8.3443975e+06,49771.902
105,102.35647,2.178527,3.178527,1589.2635,8.419195e+06,50442.625
106,102.55281,2.1846242,3.1846242,1592.3121,8.451525e+06,50733.46
107,102.68923,2.1888607,3.1888607,1594.4303,8.474026e+06,50936.195
