frame,point_id,x,y,u,v,displacement
26,2,249.36545,205.42992,11.365448,37.429916,39.117416
26,3,279.54395,149.67305,21.543945,5.67305,22.278355
27,0,185.97987,181.8195,-13.020126,27.819504,30.715607
27,1,234.38248,153.79953,6.382477,13.79953,15.204047
27,2,250.76114,207.40816,12.761139,39.408157,41.422813
27,3,281.0445,149.99622,23.044495,5.996216,23.81183
28,0,185.3948,183.39052,-13.605194,29.390518,32.386784
28,1,234.57669,154.40875,6.5766907,14.408752,15.838719
28,2,251.39047,209.15184,13.390472,41.15184,43.275616
28,3,282.1229,150.16083,24.122894,6.1608276,24.897184
29,0,184.96114,185.44313,-14.038864,31.44313,34.434868
29,1,234.96346,155.56169,6.963455,15.561691,17.048635
29,2,252.43996,211.54668,14.439957,43.546677,45.878376
29,3,283.11676,150.42233,25.11676,6.422333,25.924852
30,0,184.70966,187.9031,-14.290344,33.903107,36.791775
30,1,235.51794,157.17372,7.5179443,17.173721,18.747164
30,2,253.69029,214.4989,15.690292,46.4989,49.07477
30,3,284.13342,151.06569,26.133423,7.065689,27.071753
31,0,184.25201,189.64032,-14.747986,35.64032,38.571175
31,1,235.80925,158.13301,7.80925,18.13301,19.743113
31,2,254.50206,216.81856,16.50206,48.818558,51.532215
31,3,284.77725,151.24576,26.777252,7.245758,27.740265
32,0,184.11575,191.0282,-14.884247,37.0282,39.90775
32,1,236.41876,158.6748,8.418762,18.674805,20.484722
32,2,255.62766,218.50198,17.627655,50.501984,53.490044
32,3,285.89288,151.07642,27.892883,7.076416,28.77653
33,0,183.96443,192.2348,-15.035568,38.234802,41.084892
33,1,237.03293,158.97745,9.032928,18.977448,21.017548
33,2,256.6983,219.95824,18.698303,51.958237,55.22033
33,3,287.02313,150.89081,29.023132,6.890808,29.829943
34,0,183.64896,193.29416,-15.351044,39.29416,42.186317
34,1,237.46973,159.16492,9.469727,19.164917,21.37685
34,2,257.74127,221.30977,19.741272,53.30977,56.847595
34,3,288.45483,150.68498,30.454834,6.6849823,31.179895
35,0,183.65018,194.14815,-15.349823,40.148148,42.98245
35,1,238.1753,159.02164,10.175293,19.021637,21.572187
35,2,259.0869,222.23093,21.086914,54.230927,58.18635
35,3,289.84415,149.97415,31.844147,5.9741516,32.399693
36,0,183.89014,194.61823,-15.109863,40.618225,43.33761
36,1,239.15253,158.6863,11.152527,18.686295,21.761353
36,2,260.61343,223.10567,22.613434,55.105667,59.565105
36,3,291.53043,149.11752,33.530426,5.117523,33.918705
37,0,184.5441,195.17384,-14.455902,41.173843,43.63781
37,1,240.60016,158.26309,12.600159,18.263092,22.187937
37,2,262.84308,223.92723,24.843079,55.92723,61.196682
37,3,293.25684,148.14735,35.256836,4.147354,35.49993
38,0,184.66957,195.48431,-14.330429,41.484314,43.889744
38,1,241.58557,157.69524,13.585571,17.695236,22.308949
38,2,264.4173,224.53076,26.417297,56.53076,62.398724
38,3,294.6818,147.21439,36.681793,3.214386,36.82236
39,0,184.39545,195.79253,-14.604553,41.792526,44.27085
39,1,241.93059,157.1064,13.930588,17.1064,22.061056
39,2,265.32925,224.8757,27.329254,56.8757,63.10098
39,3,295.5984,146.31671,37.59839,2.3167114,37.669697
40,0,184.2746,196.37535,-14.725403,42.37535,44.860985
40,1,242.48329,156.87546,14.483292,16.875458,22.238409
40,2,266.39447,225.74316,28.39447,57.743164,64.34686
40,3,296.5511,145.63094,38.551086,1.6309357,38.58557
41,0,184.39697,197.12682,-14.603027,43.126816,45.532085
41,1,243.36104,156.89818,15.361038,16.898178,22.836592
41,2,267.85437,226.83487,29.85437,58.83487,65.975945
41,3,297.64044,145.01447,39.64044,1.0144653,39.65342
42,0,184.60486,197.8865,-14.395142,43.886505,46.187073
42,1,244.1994,156.96373,16.199402,16.96373,23.456102
42,2,269.24036,227.9761,31.240356,59.976105,67.62465
42,3,298.63623,144.3672,40.63623,0.36720276,40.63789
43,0,184.70245,198.76764,-14.297546,44.76764,46.99533
43,1,244.88065,157.07213,16.880646,17.072128,24.00862
43,2,270.60123,229.07661,32.601227,61.076614,69.23289
43,3,299.56573,143.88245,41.565735,-0.11755371,41.565903
44,0,184.61208,199.8267,-14.387924,45.826706,48.032272
44,1,245.3375,157.45679,17.337494,17.456787,24.603416
44,2,271.6212,230.52826,33.621185,62.52826,70.99414
44,3,299.8025,143.40332,41.80249,-0.5966797,41.80675
45,0,184.3879,200.77275,-14.612106,46.77275,49.00208
45,1,245.64279,157.74353,17.642792,17.74353,25.022009
45,2,272.56494,231.79388,34.56494,63.793884,72.55615
45,3,300.03732,142.82547,42.037323,-1.17453,42.053726
46,0,183.66263,201.1239,-15.337372,47.1239,49.557007
46,1,245.5481,157.35994,17.548096,17.35994,24.684067
46,2,272.95007,232.32616,34.950073,64.32616,73.207664
46,3,300.17114,141.96906,42.171143,-2.0309448,42.22002
47,0,182.55083,201.67764,-16.449173,47.677643,50.435432
47,1,244.9129,157.20265,16.912903,17.202652,24.12421
47,2,272.8222,232.99698,34.822205,64.99698,73.73733
47,3,300.18503,141.596,42.185028,-2.404007,42.25347
48,0,181.39357,203.02882,-17.60643,49.028824,52.09426
48,1,244.46832,158.04295,16.468323,18.042953,24.428545
48,2,272.73138,235.02109,34.731384,67.02109,75.485725
48,3,299.81516,141.73505,41.815155,-2.2649536,41.876453
49,0,180.36545,204.25655,-18.634552,50.256546,53.600067
49,1,244.21564,158.9983,16.215637,18.998306,24.977642
49,2,272.708,237.17578,34.708008,69.17578,77.39467
49,3,299.5469,141.97307,41.546906,-2.0269318,41.59632
50,0,178.47096,204.77362,-20.529037,50.77362,54.766796
50,1,242.89217,159.08922,14.892166,19.089218,24.211048
50,2,271.64285,238.21326,33.642853,70.21326,77.8572
50,3,299.00916,142.0866,41.009155,-1.9134064,41.05377
51,0,176.28952,205.15532,-22.71048,51.15532,55.969925
51,1,241.47527,159.12346,13.4752655,19.123459,23.394218
51,2,270.22638,239.11172,32.22638,71.111725,78.07315
51,3,298.3776,142.24826,40.377594,-1.7517395,40.415573
52,0,175.51778,206.04234,-23.482224,52.042343,57.094837
52,1,241.42497,159.85344,13.424973,19.85344,23.966412
52,2,270.3025,240.95688,32.30249,72.95688,79.7882
52,3,298.10718,142.5476,40.107178,-1.4523926,40.13347
53,0,175.25726,206.62096,-23.742737,52.620956,57.729393
53,1,241.66908,160.187,13.669083,20.186996,24.37947
53,2,270.72144,242.20998,32.721436,74.20998,81.103714
53,3,298.29697,142.59372,40.296967,-1.4062805,40.3215
54,0,173.9844,207.16133,-25.015594,53.16133,58.752934
54,1,240.8588,160.17104,12.858795,20.171036,23.921106
54,2,270.28186,242.76643,32.28186,74.76643,81.43794
54,3,298.26724,142.60278,40.267242,-1.3972168,40.291477
55,0,172.86522,208.44789,-26.13478,54.44789,60.39536
55,1,240.36687,161.20416,12.366867,21.204163,24.547014
55,2,269.81854,244.74309,31.818542,76.74309,83.0778
55,3,297.8261,143.23943,39.82611,-0.76057434,39.833374
56,0,172.63658,210.30586,-26.363419,56.305862,62.17218
56,1,240.82649,162.92714,12.826492,22.92714,26.271137
56,2,270.5276,247.75809,32.527588,79.75809,86.13592
56,3,297.63974,143.98668,39.63974,-0.013320923,39.63974
57,0,172.23253,211.39218,-26.767471,57.39218,63.327404
57,1,241.10217,163.76057,13.102173,23.760574,27.133593
57,2,271.03867,249.65002,33.038666,81.650024,88.0811
57,3,297.92813,144.42445,39.92813,0.42445374,39.930386
58,0,170.76256,211.48402,-28.237442,57.484024,64.04503
58,1,240.088,163.31221,12.087997,23.31221,26.259834
58,2,270.37674,249.92233,32.37674,81.92233,88.08815
58,3,297.74048,143.94267,39.74048,-0.05732727,39.74052
59,0,169.02768,211.7708,-29.97232,57.770798,65.08306
59,1,239.00505,163.30281,11.005051,23.30281,25.770761
59,2,269.34683,250.81036,31.346832,82.81036,88.54479
59,3,297.51852,143.9241,39.518524,-0.07589722,39.518597
60,0,168.43561,212.9298,-30.564392,58.929794,66.38451
60,1,238.90468,164.27536,10.904678,24.27536,26.612123
60,2,269.52502,252.83798,31.525024,84.83798,90.50586
60,3,297.55182,144.2929,39.55182,0.29289246,39.552902
61,0,167.61145,213.92708,-31.38855,59.92708,67.6498
61,1,238.68327,164.87811,10.683273,24.878113,27.074947
61,2,269.6654,254.425,31.665405,86.425,92.04336
61,3,297.58395,144.50208,39.583954,0.5020752,39.58714
62,0,166.60619,213.94603,-32.393814,59.94603,68.138725
62,1,238.25716,164.62616,10.257156,24.62616,26.676899
62,2,269.46255,255.02353,31.462555,87.02353,92.53641
62,3,297.89944,144.30644,39.899445,0.30644226,39.90062
63,0,166.01306,213.6562,-32.98694,59.656204,68.168915
63,1,238.28406,164.21428,10.284058,24.21428,26.307663
63,2,269.60193,255.60867,31.601929,87.60867,93.13411
63,3,298.55655,143.71118,40.55655,-0.28881836,40.557575
64,0,165.27545,213.16461,-33.72455,59.16461,68.10137
64,1,238.21709,163.36041,10.217087,23.360413,25.497013
64,2,269.7328,255.68416,31.732788,87.68416,93.249565
64,3,299.0396,142.85782,41.03961,-1.1421814,41.055504
65,0,163.84145,212.27211,-35.158554,58.27211,68.05705
65,1,237.25887,162.09135,9.258865,22.091354,23.953173
65,2,269.0019,255.1843,31.001892,87.184296,92.53226
65,3,299.57144,142.25174,41.57144,-1.7482605,41.60819
66,0,163.10152,212.211,-35.898483,58.211,68.39021
66,1,237.18512,161.75351,9.18512,21.75351,23.613167
66,2,268.9596,255.5608,30.959595,87.56081,92.872986
66,3,300.2189,142.01929,42.218903,-1.9807129,42.26534
67,0,163.18832,212.92862,-35.811676,58.92862,68.95693
67,1,237.8586,162.45233,9.858597,22.452332,24.521402
67,2,269.9492,257.4377,31.949188,89.43771,94.97292
67,3,300.94803,142.2791,42.94803,-1.7209015,42.982494
68,0,163.1923,213.34955,-35.807693,59.34955,69.31493
68,1,238.42949,162.7656,10.429489,22.765594,25.040897
68,2,270.7959,258.6831,32.7959,90.683105,96.431305
68,3,301.6762,142.27817,43.67621,-1.7218323,43.710136
69,0,162.6691,213.12842,-36.330902,59.128418,69.39816
69,1,238.40262,162.07712,10.402618,22.077118,24.405195
69,2,271.2273,258.4895,33.227295,90.4895,96.39711
69,3,302.3274,141.91205,44.327393,-2.0879517,44.376537
70,0,162.60757,212.94627,-36.392426,58.946274,69.27533
70,1,238.66551,161.56392,10.665512,21.56392,24.057343
70,2,271.90912,258.4243,33.90912,90.424286,96.57318
70,3,302.96698,141.66687,44.96698,-2.33313,45.027466
71,0,162.62332,213.41376,-36.37668,59.413757,69.66532
71,1,239.13126,161.70705,11.131256,21.707047,24.394686
71,2,272.82388,259.23383,34.823883,91.233826,97.65405
71,3,303.47733,141.81265,45.477325,-2.1873474,45.529896
72,0,162.14827,214.24808,-36.85173,60.248077,70.62493
72,1,239.20753,162.55927,11.207535,22.559265,25.189865
72,2,272.979,260.8368,34.979004,92.83679,99.20787
72,3,303.70966,142.57697,45.709656,-1.4230347,45.7318
73,0,162.0937,215.3637,-36.906296,61.363693,71.60711
73,1,239.67792,163.5625,11.6779175,23.5625,26.297626
73,2,273.7673,262.62756,35.767303,94.62756,101.16163
73,3,304.28687,143.37964,46.286865,-0.6203613,46.29102
74,0,162.00485,216.42032,-36.995148,62.42032,72.55988
74,1,239.99312,164.5326,11.993118,24.532593,27.307196
74,2,274.47363,264.28934,36.473633,96.28934,102.965836
74,3,304.44492,144.00664,46.444916,0.0066375732,46.444916
75,0,161.6274,217.33878,-37.372604,63.338776,73.54259
75,1,240.03534,164.96027,12.035339,24.960266,27.710363
75,2,275.0505,265.5337,37.050507,97.53369,104.33389
