frame,L_pixels
0,32.202484
1,32.530537
2,32.84379
3,33.10215
4,33.64159
5,34.26072
6,34.64738
7,35.315998
8,36.0572
9,36.76184
10,37.3762
11,38.395447
12,39.498596
13,40.501926
14,41.744476
15,42.897125
16,43.964317
17,45.111996
18,46.242878
19,47.33378
20,48.214348
21,49.35957
22,50.332485
23,51.383102
24,52.36028
25,53.550343
26,54.63025
27,55.92791
28,57.085907
29,58.2506
30,59.378258
31,60.422337
32,61.500786
33,62.628403
34,63.729744
35,64.86031
36,65.916885
37,67.11695
38,68.3187
39,69.33188
40,70.34553
41,71.38
42,72.29234
43,73.21155
44,74.04584
45,74.857704
46,75.79641
47,76.596695
48,77.473564
49,78.263374
50,78.97567
51,79.80046
52,80.48089
53,81.03482
54,81.73293
55,82.392006
56,83.033775
57,83.73648
58,84.41884
59,85.123314
60,85.63377
61,86.35395
62,86.98454
63,87.564835
64,88.32293
65,88.92821
66,89.634476
67,90.130486
68,90.66074
69,91.33346
70,91.78757
71,92.34202
72,92.78935
73,93.288124
74,93.67233
75,94.29377
76,94.75916
77,95.345314
78,95.64013
79,95.9994
80,96.25878
81,96.56148
82,96.93088
83,97.28491
84,97.5724
85,97.96249
86,98.32267
87,98.552704
88,98.91556
89,99.30483
90,99.54401
91,99.938065
92,100.22083
93,100.55036
94,100.958275
95,101.1126
96,101.20419
97,101.416084
98,101.4074
99,101.483444
100,101.44804
101,101.73623
102,101.66605
103,101.840416
104,101.90078
105,102.35647
106,102.55281
107,102.68923
108,102.674385
109,102.904175
110,103.13539
111,103.2438
112,103.526794
113,103.78031
114,103.835236
115,103.87894
116,104.199135
117,104.296036
118,104.3726
119,104.81942
120,105.24308
121,105.496124
122,105.76859
123,106.00996
124,106.22783
125,106.54943
126,106.7072
127,107.09783
128,107.24754
129,107.36418
130,107.37672
131,107.834305
132,108.130486
133,108.42902
134,108.87159
135,109.17176
136,109.44361
137,109.90901
138,110.518715
139,110.75109
140,111.08833
141,111.366684
142,111.7643
143,111.89362
144,112.30399
145,112.68382
146,112.73399
147,112.86462
148,113.004456
149,113.2818
150,113.5515
151,113.7801
152,113.7695
153,113.96137
154,113.996765
155,113.931885
156,114.266014
157,114.44131
158,114.73896
159,115.04881
160,115.161476
161,115.68119
162,115.640976
163,115.8662
164,115.9501
165,116.01797
166,116.16662
167,116.018486
168,116.21037
169,115.93038
