frame,L_pixels,strain,radius_norm,pressure_Pa,stress_Pa,force_N
88,145.92351,-0.11955176,0.8804482,440.22412,645990.9,1072.0903
89,145.64522,-0.121230856,0.87876916,439.38458,643529.3,1065.9684
90,145.50687,-0.12206562,0.8779344,438.9672,642307.3,1062.9335
91,145.29474,-0.12334552,0.8766545,438.32724,640435.9,1058.2914
92,145.14368,-0.12425697,0.87574303,437.87152,639104.8,1054.994
93,144.92984,-0.12554719,0.8744528,437.2264,637223.06,1050.3379
94,144.96526,-0.1253335,0.8746665,437.33325,637534.56,1051.1082
95,144.68959,-0.12699676,0.87300324,436.50162,635112.2,1045.1232
96,144.59572,-0.12756315,0.8724369,436.21844,634288.4,1043.0903
97,144.45511,-0.12841153,0.87158847,435.79422,633055.3,1040.0502
98,144.16437,-0.13016576,0.86983424,434.9171,630509.6,1033.783
99,143.77815,-0.13249604,0.86750394,433.75198,627135.9,1025.4967
100,143.52756,-0.13400804,0.86599195,432.99597,624951.7,1020.1439
101,143.51581,-0.13407892,0.8659211,432.96054,624849.44,1019.8935
102,143.39879,-0.13478498,0.865215,432.6075,623830.8,1017.40076
103,143.14162,-0.13633665,0.8636633,431.83167,621595.25,1011.9367
104,142.72932,-0.13882427,0.8611757,430.58786,618019.6,1003.2178
105,142.72243,-0.13886589,0.8611341,430.56705,617959.94,1003.07227
106,142.31873,-0.14130168,0.8586983,429.34915,614468.94,994.5846
107,141.96704,-0.14342362,0.8565764,428.28818,611435.9,987.2296
108,141.2782,-0.14757983,0.85242015,426.21008,605516.75,972.9288
109,141.0573,-0.14891267,0.85108733,425.54367,603624.7,968.3721
110,140.96016,-0.14949876,0.85050124,425.2506,602793.6,966.3729
111,140.65076,-0.15136558,0.8486344,424.3172,600150.25,960.02344
112,140.27863,-0.15361089,0.8463891,423.19455,596978.75,952.4234
113,139.72089,-0.15697607,0.8430239,421.51196,592241.06,941.1082
114,139.45369,-0.15858825,0.84141177,420.70587,589978.1,935.7194
115,139.29448,-0.15954885,0.8404511,420.22556,588631.7,932.5181
116,139.45203,-0.15859827,0.8414017,420.70084,589963.94,935.6857
117,139.10951,-0.16066487,0.83933514,419.66757,587069.5,928.80835
118,138.74933,-0.16283809,0.8371619,418.58096,584033.4,921.6123
119,138.68475,-0.16322772,0.83677226,418.38614,583489.8,920.326
120,138.72264,-0.16299911,0.8370009,418.50046,583808.7,921.08075
121,138.26405,-0.16576606,0.83423394,417.11697,579955.2,911.9761
122,137.98758,-0.1674342,0.8325658,416.2829,577638.1,906.51624
123,137.91072,-0.16789794,0.83210206,416.05103,576994.9,905.00226
124,137.39249,-0.17102477,0.8289752,414.4876,572666.56,894.8382
125,137.0438,-0.17312866,0.82687134,413.43567,569763.44,888.0423
126,136.87654,-0.1741378,0.8258622,412.93112,568373.7,884.79517
127,137.0184,-0.17328186,0.82671815,413.35907,569552.4,887.54895
128,137.00108,-0.17338635,0.82661366,413.30682,569408.44,887.21246
129,136.95538,-0.1736621,0.82633793,413.16898,569028.6,886.32495
130,137.08354,-0.17288883,0.8271112,413.5556,570094.06,888.8154
131,137.51193,-0.17030407,0.82969594,414.84796,573662.75,897.1742
132,137.7345,-0.16896121,0.8310388,415.51938,575521.2,901.5374
133,138.07483,-0.16690777,0.8330922,416.5461,578368.9,908.2369
134,138.29564,-0.16557549,0.8344245,417.21225,580220.2,912.6012
135,138.4161,-0.16484863,0.8351514,417.57568,581231.44,914.9882
136,138.35713,-0.16520447,0.83479553,417.39777,580736.3,913.8191
137,138.41145,-0.1648767,0.8351233,417.56165,581192.4,914.8959
138,138.57544,-0.16388728,0.83611274,418.05637,582570.44,918.1516
